ID,Post Title,Rendered Content,Featured Image URL,Height,Width,Filesize (bytes),Categories,Platforms,NFT Link
16372,peace,"Concept: The concept for this piece is to embody the spirit of a black woman, in this case, at peace. Captured in a moment where time is still, and hers is a face immortalised. Titling it ‘peace’ is a way of dreaming up a black woman, her essence captured in time, at her calmest moment, at peace, how many still seek to be in the midst of the chaos that is life.\nTools used: Midjourney.\n",https://welovetheart.optimism.io/wp-content/uploads/2024/01/peace-self-portrait.webp,1024,1024,219860,1of1s,Zora,https://zora.co/collect/zora:0xc7d07fd707b9321965b5c1d6f6ac3be0986e1023/1?referrer=0x8588F3F69f7CaABB2cfdA31D8845FAd56f9dbe4b
16370,🦐,"A tiny but tenacious crypto shrimp swims against the tides, sparkling bright as the sun through the waves.\n",https://welovetheart.optimism.io/wp-content/uploads/2024/01/Ziga_Shrimp_2023_SuperSmall.gif,null,null,null,1of1s,Zora,https://zora.co/collect/zora:0x303ed970f41ea9109b184a72339232707e6eee9e/1
16367,ZORA APE CLUB,999 unic Zora Apes.\nERC-721 \n,https://welovetheart.optimism.io/wp-content/uploads/2024/01/zora-ape.png,381,1891,337458,1of1s,Zora,https://zora.co/collect/zora:0x3dee2dac6069ccf3a1e35e20b928bb24140a6d2e
16366,Synthsia,"The creation of the NFT art featuring a girl&#8217;s face transforming into a metallic liquid substance, named &#8220;SYNTHESIA,&#8221; is a visual metaphor for the fluidity and adaptability of human identity in the digital age. &#8220;SYNTHESIA&#8221; represents the malleable, ever-changing nature of our digital personas, highlighting how technology allows us to reshape our identities and perceptions. This artwork embodies the concept of transformation, illustrating how the integration of technology in our lives doesn&#8217;t just change the way we interact with the world, but fundamentally alters our very being. It captures the essence of our era&#8217;s technological evolution, where the boundaries between the organic and the digital are blurred, and where our human selves can fluidly transition into new forms and experiences offered by digital advancements.\n",null,null,null,null,1of1s,"Stability AI,Zora",https://zora.co/collect/base:0x37438b286f38210d92bdc28634c47347c6a1b272/3?referrer=0x712A03Ae051841074BD3bBd906B736548569ff6F
16363,Tarantula House,My artworks were created by me in graphic software and I did not use artificial intelligence to create them\n,https://welovetheart.optimism.io/wp-content/uploads/2024/01/tw72-scaled.jpg,1707,2560,261887,1of1s,OpenSea,https://opensea.io/assets/matic/0x5b7af649ac91da600076acaf12ea59baed63d718/1
16361,Sema Dance,"The movement method of the Sama dance is taken from the movement of objects and stars in the sky, and I tried to make a reference to this by inserting the spotlights of the hall where the ceremony was performed.\n",https://welovetheart.optimism.io/wp-content/uploads/2024/01/MG_5777-copy.jpg,1772,1181,247393,1of1s,OpenSea,https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/7447634075720859537754219773354844399127063613016225766480929595968796491777/
16359,Masquerade of the Sell,"This provocative piece, entitled &#8220;Masquerade of the Self,&#8221; encapsulates the existential struggle of identity in the modern era. The central figure, a person shrouded in the banality of a suit, symbolizes the universal archetype of the working individual. Yet, the head is obscured not by flesh and bone but by a crudely fashioned paper bag, scrawled with the haunting confession &#8220;I AM NOT MYSELF ANYMORE.&#8221;\nSet against a stark red background, a color often associated with urgency and alarm, the image resonates with a sense of crisis. The bag, seeming to suffocate the identity within, becomes a metaphor for the societal pressures that lead one to conceal their true self. The uneven, almost desperate handwriting underscores a deeply personal struggle.\nThis artwork is not just a portrait; it is a narrative. It speaks to the viewer about the loss of individuality and the internal chaos that ensues when one&#8217;s identity is suppressed or lost in the pursuit of conforming to societal expectations. The anonymity of the figure allows for a universal connection, inviting viewers to reflect on their own experiences with identity and conformity.\nAs part of the exhibition, &#8220;Masquerade of the Self&#8221; stands as a bold statement on the human condition, a mirror to the audience&#8217;s own facades, and a call to rediscover the self beneath the mask.\n",https://welovetheart.optimism.io/wp-content/uploads/2024/01/IMG_0623.png,5000,5000,2715500,1of1s,Zora,https://zora.co/collect/zora:0x72c9190a7a74886e908c9f5c8da903f6b38f3604
16356,Sally,"Sally&#8221; is a stunning visual symphony, featuring three ethereal women, each exuding a unique aura of beauty and emotion. The artwork is a testament to Alexandre-luc&#8217; signature blend of abstract expressionism and realism, with a touch of sculptural relief that brings each figure to life. The delicate interplay of the figures with the vibrant red flowers creates a mesmerizing tableau that is both intimate and profound.\n",https://welovetheart.optimism.io/wp-content/uploads/2024/01/VideoToGif_GIF.gif,null,null,null,1of1s,"Highlight,Stability AI",https://foundation.app/@TheRSD/rsd1/5
16353,Inner Voices,Every person has multiple personalities\n,https://welovetheart.optimism.io/wp-content/uploads/2024/01/optimism-6-scaled.jpg,2560,2560,1490010,1of1s,OpenSea,https://opensea.io/assets/optimism/0x8f16032f113e92c62d3e35a7edc58eb9a1d93b02/1/
16349,Where the Koi Fish Wander,"Koi fish, rendered in brilliant oranges, reds, whites, and purples, swim through this skyscape as if it were their natural habitat. Their scales are meticulously detailed, reflecting the sunlight in an array of shimmering oranges, capturing the essence of their majestic and serene nature. The way they move – so elegantly, with a sense of purpose and harmony – infuses the scene with a sense of peace and tranquility.\n",https://welovetheart.optimism.io/wp-content/uploads/2024/01/0988f3d6-822e-4ad3-9a22-08e57923ced1_rw_1920-1.jpeg,2398,1920,1732478,1of1s,OpenSea,https://opensea.io/assets/optimism/0xb7c66835772ad8dc008a89b86a55a41b7fa13f23/1/
