ID,Post Title,Rendered Content,Featured Image URL,Height,Width,Filesize (bytes),Categories,Platforms,NFT Link
10341,a flower,"In nature, different things come together to form one living thing. When you play your role well, you become more valuable. Flowers convey beauty until death. Those flowers were expressed by disassembling them and separating them. It represents a flower that never loses its beauty until the end.\nThe work was done with digital painting, and although a variety of colors were used, efforts were made to avoid visual distraction.\n",https://welovetheart.optimism.io/wp-content/uploads/2024/01/Flower_2-2-복사본-scaled.jpg,null,null,null,AI Art,OpenSea,https://opensea.io/assets/matic/0xe81f6100ddb9e55d1e192fbf7c1be43ff23864a0/3
10339,OPT-SYSTEM-CITY02,"This work represents the night side of OPTCITY, using the same model, controlnet, and lora as the day work, but with a different mix of noise. the contrast change with CDtuner is useful, but for high quality, I still prefer controlnet. The blacks are set to a weight of 0.5. The blacks were loaded at weight 0.2 to darken the screen overall. I also did not add noise to the right portion of the image to create depth. The image was created in 6400*3600 size, but was scaled down due to its large size. If you need the original size, please let me know.\n",https://welovetheart.optimism.io/wp-content/uploads/2024/01/SYSTEM-OPT02-40.png,1440,2560,6831919,AI Art,"Stability AI,Zora",https://zora.co/collect/zora:0x28c462dd1879f4cc9239bb773aadc0e250e0c1b3/premint-1
10337,love life,no drugs just life\nand love for life\n,https://welovetheart.optimism.io/wp-content/uploads/2024/01/lovelife.png,4500,3500,4983379,AI Art,Holograph,https://app.holograph.xyz/collections/0xe628a3188042ea7f98aca0b55455f39142bb363e/nfts/0x0000000700000000000000000000000000000000000000000000000000000001
10336,LOOP GIRL,"This is the first work of the NFT project, LOOPGIRL. The concept is to put the beat of LOOP on an illustration of a cute woman and create a heartbeat in NFT. Thank you.\n",https://welovetheart.optimism.io/wp-content/uploads/2024/01/LG001-2.jpg,1000,1000,263042,AI Art,OpenSea,https://opensea.io/ja/assets/arbitrum/0xcf6d8ee0bfdd0dcdc9fed8b9882464671eef2abc/1
10332,redly Cloak,A person after death who remembers optimism wears a red cloak and remembers optimism even after death 🙂\n,https://welovetheart.optimism.io/wp-content/uploads/2024/01/photo_2024-01-06_19-27-31.jpg,1049,1080,306596,AI Art,Zora,https://zora.co/collect/oeth:0x03df096481821b71f405cfd93f9b9695e203307e/1
10329,"Every women are an artist, their beauty are art",Beauty is not about make up. it&#8217;s about what&#8217;s in your heart. but make up is a weapon that helps you express who you are from the inside.\n,https://welovetheart.optimism.io/wp-content/uploads/2024/01/IMG_2732.jpeg,1024,1024,237463,AI Art,Zora,https://zora.co/collect/zora:0x68a7cdbfaac126c96026d00b9144233a10044563/premint-2
10326,Splash,"&#8220;Splash&#8221; (oil on canvas), precisely painted realistic portrait is confronted with spontaneous gesture. The color splashed directly on the canvas. The result is unpredictable. The final effect emphasizes the physical and emotional act of painting itself. The image gets a new expression.\n",https://welovetheart.optimism.io/wp-content/uploads/2024/01/Splash.png,1047,1000,1453148,AI Art,OpenSea,https://opensea.io/assets/optimism/0x69f9d3f8a8d52ec407366e18d310724fd70dee0d/1
10324,Art lover,Installing a sign of running horses or placing a statue of running horses in a place where family members pass and attracts their attention can increase the energy and creativity of family members to earn more money and attract more capital and prosperity. This issue causes the Chinese to choose a painting of a running horse or a statue of a running horse as a gift to their loved ones on various occasions.\n,https://welovetheart.optimism.io/wp-content/uploads/2024/01/photo_2024-01-07_18-24-31.jpg,944,1280,296003,AI Art,Zora,https://zora.co/manage/1155/oeth:0x299aaea978f0cb4194441d6716c84398bfe141b5/2
10322,Crypto eagle,I used the following tools to produce this song :\nhttps://app.songr.ai\nHome v2\n\n,https://welovetheart.optimism.io/wp-content/uploads/2024/01/123457-2.png,536,628,699188,AI Art,Zora,https://zora.co/collect/oeth:0x1d682a9bf60dd66a85a71e77bef148ab4e8a3cc8/1
10320,Crypto eagle,I used the following tools to produce this song :\nhttps://app.songr.ai\nHome v2\n\n,https://welovetheart.optimism.io/wp-content/uploads/2024/01/123457-1.png,536,628,699188,AI Art,Zora,https://zora.co/collect/oeth:0x1d682a9bf60dd66a85a71e77bef148ab4e8a3cc8/1
