ID,Post Title,Rendered Content,Featured Image URL,Height,Width,Filesize (bytes),Categories,Platforms,NFT Link
4511,Fractal Artwork,"This work was designed in the chaotica software environment and after being rendered for about a day, the output has become a digital art work with the original dimensions of 3000 x 3000 pixels.\n",https://welovetheart.optimism.io/wp-content/uploads/2023/12/Untitled-scaled.jpg,2560,2560,806644,Generative Art,Mint.fun,
4507,Escape from SynthCity,This is a single of music I made for the &#8220;Optimism We Love The Art&#8221; competition. \n&#8220;They just wanted to get rid of it. Their own world was exploited and this so-called advanced civilization was built. But those two had sworn to change this situation.&#8221;\n,https://welovetheart.optimism.io/wp-content/uploads/2023/12/Escape_from_SynthCity-.png,1024,1024,1159237,Generative Art,Sound.xyz,https://www.sound.xyz/hado/escape-from-synthcity
4505,We Love The Art ( IRaN ),My Art\nPhoto by me\n,https://welovetheart.optimism.io/wp-content/uploads/2023/12/photo_2023-12-16_20-42-30.jpg,960,1280,73003,Generative Art,Mint.fun,https://mint.fun/op/0xc93c60aD09cb693126d412BA4a5E7a89fDC1caA7
4503,We Love The Art,my art\nphoto by me \n,https://welovetheart.optimism.io/wp-content/uploads/2023/12/photo_2023-12-16_20-42-27.jpg,981,960,64601,Generative Art,Titles,https://gallery.manifold.xyz/0x98a2b1e1b00fda60e5b2cbe1cab9bdecde88de53/3
4501,Damavand,photo from beautiful Damavand.\n,https://welovetheart.optimism.io/wp-content/uploads/2023/12/2L2A0704-scaled.jpg,2560,1707,1279189,Generative Art,Mint.fun,https://zora.co/collect/zora:0xc5d006b97490c3c6434596245903a7bb46896dc3
4498,CH. III &#8211; The Art,"This piece is part of my &#8220;A piece of me(at)&#8221; collection.\nIt&#8217;s not your neat, pretty art show. It&#8217;s a raw dive into the guts of creativity, unpolished and real.\nThe series &#8220;A piece of me(at)&#8221; consist of 4 paintings and a book i wrote. Each painting is a visual representation for each of the chapters of the short-story.\nThis piece, &#8220;The Art&#8221;, is the heart of the storm. It&#8217;s the visual representation of the third chapter of the book. It&#8217;s where chaos dances with control. This piece screams into the void, unchained, untamed. A wild ride through the throes of creation.\nIn &#8216;A Piece of Me(at)&#8217;, I ditched the usual artist blabber. Instead, I crafted a book to sling you deep into the paintings&#8217; guts, make context an immersive experience. The book—a short story— is a narrative that offers more than just visuals but a total dive into a world I bled to build. You can read the book for free on the website i&#8217;ve setup for the collection: https://www.apieceofmeat.com/ (collectors also receives a dynamic NFT of the book. Collectors from the OE already received it).\nThis entire collection ain&#8217;t just a show, it&#8217;s a confession i&#8217;ve spent more than 3 months on—day in, day out. Painting, writing, sweating. It&#8217;s raw, unfiltered, and as real as it can get. Walk through this, and you&#8217;re walking through my head, my heart. Find a piece of truth, a piece of the grind.\n",https://welovetheart.optimism.io/wp-content/uploads/2023/12/apom-the-art-mannay-scaled.jpg,2560,1536,454150,Generative Art,Manifold,https://opensea.io/assets/optimism/0xaf64101a8b5423cdd32fceca66c697b3aaf7ab54/1
4496,Let&#8217;s go grab the future,"Are you worried about the future? No, a new future awaits us that will free us from bondage. This is the story of a young man who is ready and determined to open the door and move on to a bright future.\n",https://welovetheart.optimism.io/wp-content/uploads/2023/12/myedit_ai_image_1212142258.jpg,1024,1024,78606,Generative Art,"Stability AI,Titles",https://gallery.manifold.xyz/optimism/0x68b107de992b710d771d9be564a8c6abbe5465ff/1
4494,ZoraFam,ZoraFam\n,https://welovetheart.optimism.io/wp-content/uploads/2023/12/3acd6112027b804ed0dd331f706eba04-scaled.jpeg,1762,2560,578286,Generative Art,Zora,https://zora.co/collect/oeth:0xfe595553bb0288be7c2861c59088d1b36596680e/1?referrer=0x08bf7233fc749a55aD990afbEd3e7adF03b2b9c8
4492,The magic of Christmas with my web3 friends,"In 2023, We encountered many stories, both bad and good then we had a strong friendship. I drew it by Procreate to create my friend characters and me to stay at same apartment and celebrate for the season of giving.\n",https://welovetheart.optimism.io/wp-content/uploads/2023/12/The-magic-of-Christmas.png,1620,2160,2451614,Generative Art,OpenSea,
4490,Lovey Dovey,This artwork was originally created with acrylic paint on canvas. It was one of my first paintings ever made after also having taken my first art class back in university.\nThis was created as a gift to my sister to celebrate her and her family. The subjects of the painting were based on her favorite cartoon characters as a child.\n,https://welovetheart.optimism.io/wp-content/uploads/2023/12/IMG_8883-scaled.jpeg,2134,2560,909879,Generative Art,Manifold,
